고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX2298,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 〔集解〕,"頌曰蘇, 紫蘇也. 處處有之, 以背面皆紫者佳. 夏采莖葉, 秋采子. 有數種, 水蘇ㆍ魚蘇ㆍ山魚蘇皆是荏類, 各有別條.","소송은 ""소는 자소이다. 곳곳에 있고 앞과 뒤 모두 자색인 것이 좋다. 여름에 줄기와 잎을 채취하고 가을에 씨를 채취한다. 몇 종류가 있는데, 수소(水蘇), 어소(魚蘇), 산어소(山魚蘇)는 모두 깨 종류이고 각각의 별도의 항목이 있다.""라고 하였다.",한의학고전DB
CLTX2299,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 〔集解〕,"時珍曰紫蘇ㆍ白蘇, 皆以二三月下種, 或宿子在地自生. 其莖方, 其葉團而有尖, 四圍有鋸齒, 肥地者面背皆紫, 瘠地者面靑背紫, 其面背皆白者卽白蘇, 乃荏也. 紫蘇嫩時采葉, 和蔬茹之, 或鹽及梅作俎食甚香, 夏月作熟湯飮之. 五六月連根采收, 以火其根, 陰乾則經久葉不落. 八月開細紫花, 成穗作房, 如荊芥穗. 九月半枯時收子, 子細如芥子而色黃赤, 亦可取油如荏油. 《務本新書》云, 凡地畔近道可種蘇, 以遮六畜. 收子打油燃燈甚明, 或熬之以油器物. 《丹房鏡源》云, 蘇子油, 能柔五金八石. 《沙州記》云, 乞弗虜之地, 不種五谷, 惟食蘇子. 故王禎云, 蘇有遮護之功, 又有燈油之用, 不可闕也. 今有一種花紫蘇, 其葉細齒密紐, 如剪成之狀, 香色莖子無異者, 人稱回回蘇云.","이시진은 ""자소와 백소는 모두 2-3월에 씨를 뿌리거나, 혹은 묵은 씨가 있는 땅에서 저절로 난다. 줄기는 모가 났고 잎은 둥글면서 뾰족하며 사방에 톱니가 있다. 기름진 땅에서는 앞과 뒤 모두 자색이고, 척박한 땅에서는 앞은 청색이고 뒤는 자색이며, 앞과 뒤 모두 백색인 것은 백소로, 바로 깨이다. 자소는 잎이 여릴 때 잎을 채취하여 채소와 섞어 여물로 먹이거나, 소금이나 소금에 절인 매실로 담가 먹으면 매우 향기로우며, 여름에는 삶아 낸 물을 마신다. 5-6월에 뿌리까지 채취하여 그 뿌리를 잿불에 굽고 그늘에 말리면 오래되어도 잎이 떨어지지 않는다. 8월에 자잘한 자색 꽃이 피고 이삭에서 형개수와 같은 씨방이 만들어진다. 9월에 절반 정도 마를 때 씨를 거두는데 씨는 겨자처럼 자잘하면서 황적색이고 참기름과 같이 기름을 짜낼 수 있다. 《무본신서(務本新書)》에서는 '밭두둑 근처 길가에 소를 심어서 가축을 막을 수 있다. 씨를 거두어 기름을 짜내 등불을 쓰면 매우 밝으며 혹은 볶아서 그릇에 기름을 바른다.' 하였다. 《단방경원(丹房鏡源)》에서는 '소자유는 오금(五金)과 팔석(八石)을 부드럽게 한다.' 하였다. 《사주기(沙州記)》에서는 '걸불로(乞弗虜)의 땅에서는 오곡을 심지 않고 소자만 먹는다.' 하였다. 그러므로 왕정(王禎)은 '소는 막고 보호하는 효과가 있고, 또한 등불 기름으로 쓰이니 뺄 수 없다.' 하였다. 지금 어떤 한 종류의 꽃이 피는 자소는 잎이 가늘고 이빨이 촘촘하여 가위와 같은 모양을 이루며, 향과 색, 줄기와 씨가 모두 다른 점이 없는데, 사람들은 회회소(回回蘇)라고 말한다.""라고 하였다.",한의학고전DB
CLTX2300,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 〔集解〕,"斅曰薄荷根莖眞似紫蘇, 但葉不同爾. 薄荷莖燥, 紫蘇莖和. 入藥須以刀刮去靑薄皮之.","뇌효는 ""박하의 뿌리와 줄기는 정말로 자소와 유사하고 잎만 같지 않을 뿐이다. 박하의 줄기는 마르게 하는 성질이고, 자소의 줄기는 고르게 하는 성질이다. 약에 넣을 때는 칼로 푸르고 얇은 껍질을 긁어낸 다음 잘라서 쓴다.""라고 하였다.",한의학고전DB
CLTX2301,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 氣味,"辛, 溫, 無毒.李廷飛曰不可同鯉魚食, 生毒瘡.","맛은 맵고 성질은 따뜻하고 독이 없다.이정비(李廷飛)는 ""잉어와 함께 먹으면 안 되는데, 독창(毒瘡)이 생기기 때문이다.""라고 하였다.",한의학고전DB
CLTX2302,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 主治,"下氣, 除寒中, 其子尤良.別錄 除寒熱, 治一切冷氣.孟詵 補中益氣, 治心腹脹滿, 止亂轉筋, 開胃下食, 止脚氣, 通大小腸.日華 通心經, 益脾胃, 煮飮尤勝, 與橘皮相宜.蘇頌 解肌發表, 散風寒, 行氣寬中, 消痰利肺, 和血溫中止痛, 定喘安胎, 解魚蟹毒, 治蛇犬傷.時珍 以葉生食作羹, 殺一切魚肉毒.甄權","기를 내리고, 몸 속의 한기를 제거하는데, 그 씨는 더욱 좋다.별록 한열을 제거하고, 온갖 냉기를 치료한다.맹선 속을 보하고 기를 보익하며, 가슴과 배가 불러오르고 가득한 증상을 치료한다. 곽란으로 인한 전근을 멎게 하고, 위를 열어 음식이 내려가게 하며, 각기(脚氣)를 멎게 하고, 대소장을 소통시킨다.일화 심경을 소통시키고, 비위를 유익하게 하는데, 삶아 낸 물을 마시면 더욱 좋고, 귤피와 함께 써도 알맞다.소송 피부를 풀어 땀을 내게 하며, 풍한을 흩어 내고, 기를 운행시켜 속을 편안하게 하고, 담을 삭여 폐를 이롭게 하고, 혈을 온화하게 하고 속을 따뜻하게 하여 통증을 멎게 한다. 천식을 진정시키고 태를 안정시키며, 물고기나 게의 독을 풀어 주고, 뱀이나 개에 물린 데를 치료한다.시진 잎은 생 것을 먹거나 국을 끓여 먹으면 온갖 생선과 고기의 독을 없앤다.견권",한의학고전DB
CLTX2303,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 發明,"頌曰若宣通風毒, 則單用莖, 去節尤良.","소송은 ""풍독을 두루 소통시키려면 줄기만 쓰고 마디를 제거해야 더욱 좋다.""라고 하였다.",한의학고전DB
CLTX2304,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 發明,"時珍曰紫蘇, 近世要藥也. 其味辛, 入氣分;其色紫, 入血分. 故同橘皮ㆍ砂仁, 則行氣安胎;同藿香ㆍ烏藥, 則溫中止痛;同香附ㆍ麻黃, 則發汗解肌;同芎ㆍ當歸, 則和血散血;同木瓜ㆍ厚朴, 則散濕解暑, 治亂ㆍ脚氣;同桔梗ㆍ枳殼, 則利膈寬腸;同杏仁ㆍ萊子, 則消痰定喘也.","이시진은 ""자소는 근세에 들어 중요한 약이 되었다. 매운 맛은 기분으로 들어가고, 자색은 혈분으로 들어간다. 그러므로 귤피ㆍ사인과 함께 쓰면 기를 운행시키고 태를 안정시키며, 곽향ㆍ오약과 함께 쓰면 속을 따뜻하게 하고 통증을 멎게 하며, 향부ㆍ마황과 함께 쓰면 땀을 내고 피부를 풀어 주며, 궁궁ㆍ당귀와 함께 쓰면 혈을 고르게 하고 어혈을 흩어 내며, 목과ㆍ후박과 함께 쓰면 습을 흩어 내고 서(暑)를 풀어 주며 곽란이나 각기를 치료하고, 길경ㆍ지각과 함께 쓰면 흉격을 매끄럽게 하고 장(腸)을 편안하게 하며, 행인ㆍ나복자와 함께 쓰면 담을 삭이고 천식을 진정시킨다.""라고 하였다.",한의학고전DB
CLTX2305,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 發明,"機曰宋仁宗命翰林院定湯飮. 奏曰, 紫蘇熟水第一. 以其能下胸膈浮氣也. 蓋不知其久則泄人眞氣焉.","마기는 ""송 인종(宋仁宗)이 한림원(翰林院)에 마실 음료를 정하도록 명하자, 이에 아뢰기를 '자소로 끓인 물이 가장 으뜸입니다. 이는 흉격의 부기(浮氣)를 내릴 수 있기 때문입니다.' 하였다. 대체로 오래되면 사람의 진기가 새어나가는 것을 알지 못하는 것이다.""라고 하였다.",한의학고전DB
CLTX2306,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 發明,"宗奭曰紫蘇其氣香, 其味微辛甘能散. 今人朝暮飮紫蘇湯, 甚無益. 醫家謂芳草致豪貴之疾者, 此有一焉. 若脾胃寒人, 多致滑泄, 往往不覺.","구종석은 ""자소는 향기가 나고 맛으 약간 맵고 달아서 흩어 낼 수 있다. 요즘 사람들이 아침 저녁으로 자소 달인 물을 마시는데, 매우 무익하다. 의가에서는 '향기 나는 풀은 부귀한 자들에게 질병이 생기게 한다.' 하는데, 이것이 그 한 가지이다. 비위가 찬 사람은 대부분 설사를 줄줄 하는데 왕왕 느끼지 못한다.""라고 하였다.",한의학고전DB
CLTX2307,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 正誤,"頌曰蘇主, 《本經》不著. 南齊澄治李道念食白子成, 以蘇煮服, 吐出雛而愈也.","소송은 ""소는 계가()를 주치하는데, 《본경》에는 써 있지 않다. 남제(南齊)의 저징(澄)은 삶은 계란을 먹고 계가에 걸린 이도념(李道念)을 치료할 때 자소 달인 물을 복용하게 하였는데, 병아리 같은 것을 토해내고서 나았다.""라고 하였다.",한의학고전DB
CLTX2308,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 正誤,"時珍曰按《南齊書》, 澄所用者蒜也, 非蘇也. 蓋二字相似, 譽錄誤耳, 蘇氏欠考矣. 詳見蒜下.","이시진은 ""《남제서(南齊書)》에 의하면 저징이 쓴 것은 마늘이지 자소가 아니다. 두 글자가 서로 유사하여 잘못 기록하였을 뿐이니, 소씨가 잘못 상고한 것이다. 상세한 것은 마늘 항목에 보인다.""라고 하였다.",한의학고전DB
CLTX2309,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"感寒上氣蘇葉三兩, 橘皮四兩, 酒四升, 煮一升半, 分再服.《後方》","감기로 기가 치받는 증상:소엽 3냥, 귤피 4냥에 술 4되를 넣고 1되 반이 될 때까지 달인 다음 두 번에 나누어 복용한다.《주후방》",한의학고전DB
CLTX2310,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"傷寒氣喘不止用赤蘇一把, 水三升, 煮一升, 稍稍飮之.《後》",상한으로 숨을 헐떡이는 것이 멎지 않는 증상:적소 1줌을 물 3되에 넣고 1되가 될 때까지 달여 조금씩 마신다.《주후》,한의학고전DB
CLTX2311,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"勞復食復欲死者蘇葉煮汁二升, 飮之. 亦可入生薑ㆍ豆同煮飮.《後》",노복이나 식복으로 죽으려 할 때:자소를 달여 낸 즙 2되를 마신다. 생강과 두시를 넣고 함께 달여 마셔도 된다.《주후》,한의학고전DB
CLTX2312,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"卒不止香蘇濃煮, 頓服三升, 良.《千金》",갑자기 딸국질이 나서 멎지 않는 증상:향소를 진하게 달여 3되를 단번에 복용하면 좋다.《천금》,한의학고전DB
CLTX2313,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"亂脹滿, 未得吐下用生蘇搗汁飮之, 佳. 乾蘇煮汁亦可.《後方》",곽란으로 속이 불러오르고 그득한데 구토나 설사도 나지 않을 때:생 소를 찧어 낸 즙을 마시면 좋다. 말린 소를 달여 낸 즙도 된다.《주후방》,한의학고전DB
CLTX2314,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"諸失血病紫蘇不限多少, 入大內, 水煎令乾, 去滓熬膏, 以炒熟赤豆爲末, 和丸梧子大. 每酒下三五十丸, 常服之.《斗門方》",여러 가지 실혈:자소를 양에 상관 없이 솥에 넣고 물이 마를 때까지 달인 다음 찌꺼기를 걸러 내고 졸여서 고를 만든다. 이것을 볶은 적두 가루에 개어 벽오동씨만 한 환약을 만든다. 이것을 술로 30-50환씩 늘 복용한다.《두문방》,한의학고전DB
CLTX2315,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,金瘡出血不止以嫩紫蘇葉ㆍ桑葉同搗貼之.《永類鈐方》,금창으로 인한 출혈이 멎지 않을 때:자소의 여린 잎과 뽕잎을 함께 찧어 붙여 준다.《영류검방》,한의학고전DB
CLTX2316,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"顚撲傷損紫蘇搗敷之, 瘡口自合.《談野翁試驗方》",자빠지거나 맞아 다쳤을 때:자소를 찧어 붙여 주면 헌 데가 저절로 아물게 된다.《담야옹경험방》,한의학고전DB
CLTX2317,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"傷損血出不止以陳紫蘇葉所出血爛敷之. 血不作膿, 且愈後無瘢, 甚妙也.《永類鈐方》","상처난 곳에서 출혈이 멎지 않을 때:묵은 자소엽을 나온 피에 적셔서 질게 찧은 다음 붙여 준다. 출혈 부위에 고름이 잡히지 않고, 또한 나은 뒤에 흉터가 없게 되니 매우 신묘한 효과가 있다.《영류검방》",한의학고전DB
CLTX2318,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,風狗咬傷紫蘇葉嚼敷之.《千金方》,미친개에게 물려 다쳤을 때:자소엽을 질게 찧어 붙여 준다.,한의학고전DB
CLTX2319,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,蛇傷人紫蘇葉搗飮之.《千金方》,뱀에게 물려 다쳤을 때:자소엽을 찧어 마신다.《천금방》,한의학고전DB
CLTX2320,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,食蟹中毒紫蘇煮汁飮二升.《金要略》,게를 먹고 중독되었을 때:자소를 달여 낸 즙을 2되 마신다.《금궤요략》,한의학고전DB
CLTX2321,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"飛絲入目令人舌上生泡. 用紫蘇葉嚼爛, 白湯咽之.《危氏得效方》",먼지가 눈으로 들어갔을 때:혀에 수포가 생기게 한다. 자소엽을 질게 찧은 다음 끓인 물로 삼킨다.《위씨득효방》,한의학고전DB
CLTX2322,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"乳癰腫痛紫蘇煎湯頻服, 搗封之.《海上仙方》",유옹으로 붓고 아픈 증상:자소 달인 물을 자주 마시고 아울러 찧어서 붙여 준다.《해상선방》,한의학고전DB
CLTX2323,KMH604,본초강목,本草綱目 卷十四 > 草之三 芳草類五十六種 > 蘇 《別錄》中品 校正 自菜部移入此. > 莖葉 > 附方,"咳逆短氣紫蘇莖葉二錢, 人參一錢, 水一鍾, 煎服.《普濟》","해역으로 숨이 짧은 증상:자소의 줄기와 잎 2돈, 인삼 1돈에 물 1잔을 넣고 달여 복용한다.《보제》",한의학고전DB
CLTX2324,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔釋名〕",將離(綱目) 梨食(別錄) 白朮(別錄) 餘容(別錄) 鋌(別錄) 白者名金芍藥(圖經) 赤者名木芍藥,장리(강목) 이식(별록) 백출(별록) 여용(별록) 정(별록) 흰 것은 금작약(金芍藥)(도경) 붉은 것은 목작약(木芍藥)이라 한다.,한의학고전DB
CLTX2325,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔釋名〕","時珍曰芍藥, 猶綽約也. 約, 美好貌. 此草花容約, 故以爲名. 羅願《爾雅翼》言制食之毒, 莫良於芍, 故得藥名, 亦通. 鄭風詩云, 伊其相謔, 贈之以芍藥. 《韓詩外傳》云, 芍藥, 離草也. 董子云, 芍藥一名將離, 故將別贈之. 俗呼其花之千葉者爲小牡丹, 赤者爲木芍藥, 與牡丹同名也.","이시진은 ""작약은 작약(約)과 같다. 작약(約)은 아름다운 모습이다. 이 풀은 꽃의 용모가 아름답기 때문에 이렇게 이름 지어졌다. 나원(羅願)의 《이아익(爾雅翼)》에서는 '음식의 독을 제어하는 것 중에 작(芍)만 한 것이 없으므로 이 약 이름을 얻었다.'라고 말하였으니, 역시 통한다. 《시경(詩經)》 〈정풍(鄭風)〉에서는 '서로 희롱하며 작약을 주었네.' 하였다. 《한시외전(韓詩外傳)》에서는 '작약은 이별의 풀[離草]이다.' 하였다. 동자(董子)는 '작약은 장리(將離)라고도 하므로 장차 이별하며 주었다.' 하였다. 민간에서는 꽃이 겹꽃잎인 것을 소목단(小牡丹)이라 하고, 붉은 것은 목작약이라 하였는데, 목단과 이름이 같다.""라고 하였다.",한의학고전DB
CLTX2326,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","《別錄》曰芍藥生中岳川谷及丘陵, 二月八月采根, 曝乾.","《명의별록》에서는 ""작약은 중악(中岳)의 시내와 골짜기 및 구릉(丘陵)에서 나고, 2월과 8월에 뿌리를 채취하여 햇볕에 말린다.""라고 하였다.",한의학고전DB
CLTX2327,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","弘景曰今出白山ㆍ蔣山ㆍ茅山最好, 白而長尺許. 餘處亦有而多赤, 赤者小利.","도홍경은 ""지금은 백산(白山), 장산(蔣山), 모산(茅山)에서 나는 것이 가장 좋은데, 희면서 길이가 1척 정도이다. 다른 곳에서도 나는데, 대부분 붉고, 붉은 것은 이익이 적다.""라고 하였다.",한의학고전DB
CLTX2328,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","志曰此有赤白兩種, 其花亦有赤白二色.","마지는 ""이것은 붉은색과 흰색 두 종류이고, 꽃도 붉은색과 흰색 두 가지 색이 있다.""라고 하였다.",한의학고전DB
CLTX2329,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","頌曰今處處有之, 淮南者勝. 春生紅芽作叢, 莖上三枝五葉, 似牡丹而狹長, 高一二尺. 夏初開花, 有紅白紫數種, 結子似牡丹子而小. 秋時采根. 崔豹《古今注》云, 芍藥有二種. 有草芍藥ㆍ木芍藥. 木者花大而色深, 俗呼爲牡丹, 非矣. 《安期生服煉法》, 芍藥有金芍藥, 色白多脂;木芍藥, 色紫瘦多脈.","소송은 ""지금은 곳곳에 있는데, 회남(淮南)에서 나는 것이 좋다. 봄에 붉은 싹이 무리지어 나고, 줄기 위에 세 개의 가지와 다섯 개의 잎이 나는데, 목단과 유사하면서 좁고 길며, 길이는 1-2척 정도이다. 여름에 처음 꽃이 피는데, 붉은색이나 흰색이나 자색 등 여러 종류가 있고, 씨를 맺으면 목단 씨와 유사하면서 작다. 가을이 되면 뿌리를 채취한다. 최표(崔豹)의 《고금주(古今注)》에서는 '작약은 두 종류가 있다. 초작약과 목작약이 있는데, 목작약은 꽃이 크고 색이 짙어서 민간에서 목단이라 여기는데 잘못된 것이다.' 하였다. 《안기생복련법(安期生服煉法)》에서는 '작약 가운데 금작약은 색이 희고 기름기와 육질이 많으며, 목작약은 자색이고 말랐으며 잎맥이 많다.' 하였다.""라고 하였다.",한의학고전DB
CLTX2330,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","承曰《本經》芍藥生丘陵. 今世多用人家種植者, 乃欲其花葉肥大, 必加糞壤. 每歲八九月取根分削, 因利以爲藥. 今淮南眞陽尤多, 根雖肥大而香味不佳, 入藥少效.","진승은 ""《신농본초경》에서 작약은 구릉에서 난다고 하였다. 요즘에는 대부분 민가에서 씨를 뿌리고 심어서 꽃잎을 크게 하고자 하여 반드시 거름을 더해 준다. 매해 8-9월에 뿌리를 채취하여 자른 다음 약으로 만들어 이익을 얻는다. 지금은 회남의 진양(眞陽)에 더욱 많은데, 뿌리가 비대하지만 향과 맛이 좋지 않아서 약에 넣으면 효과가 적다.""라고 하였다.",한의학고전DB
CLTX2331,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔集解〕","時珍曰昔人言洛陽牡丹ㆍ揚州芍藥甲天下. 今藥中所用, 亦多取揚州者. 十月生芽, 至春乃長, 三月開花. 其品凡三十餘種, 有千葉ㆍ單葉ㆍ樓子之異. 入藥宜單葉之根, 氣味全厚. 根之赤白, 隨花之色也.","이시진은 ""옛사람들은 '낙양(洛陽)의 목단과 양주(揚州)의 작약이 천하의 제일이다.'라고 말하였다. 지금 약 가운데 쓰는 것도 대부분 양주에서 채취한 것이다. 10월에 싹이 나서 봄까지 자라나다가 3월에 꽃이 핀다. 품종은 13여 가지로 겹꽃잎, 홑꽃잎, 겹에 따라 다르다. 약에 들어가는 것은 홑꽃잎의 뿌리로, 기미가 모두 강하다. 뿌리는 붉은색과 흰색이 있는데, 꽃의 색을 따른다.""라고 하였다.",한의학고전DB
CLTX2332,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 根 > 修治","斅曰凡采得, 竹刀刮去皮頭上, 細, 以蜜水拌蒸, 從巳至未, 乾用.","뇌효는 ""채취한 다음, 대나무 칼로 껍질과 대가리와 흙을 제거하고 잘게 썰어서 꿀물에 반죽하여 사시(巳時)부터 미시(未時)까지 삶은 다음 햇볕에 말려 쓴다.""라고 하였다.",한의학고전DB
CLTX2333,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 根 > 修治","時珍曰今人多生用, 惟避中寒者以酒炒, 入女人血藥以醋炒耳.","이시진은 ""지금은 대부분 생것을 쓰는데, 중한(中寒)을 피할 때만 술에 축여 볶아서 쓰고, 여인의 혈병에 쓰는 약에 넣을 때만 식초에 축여 볶아서 쓸 뿐이다.""라고 하였다.",한의학고전DB
CLTX2334,KMH614,본초강목,"本草綱目 卷十四 > 草之三 芳草類五十六種 > 芍藥 芍音杓, 又音勺. 《本經》中品 > 〔氣味〕","苦, 平, 無毒.《別錄》曰酸, 微寒, 有小毒. 普曰神農, 苦;桐君, 甘, 無毒;岐伯, 鹹;雷公, 酸. 李當之, 小寒. 元素曰性寒, 味酸, 氣厚味薄, 升而微降, 陽中陰也. 曰白芍藥酸, 平, 有小毒, 可升可降, 陰也. 好古曰味酸而苦, 氣薄味厚, 陰也, 降也, 爲手足太陰行經藥, 入肝脾血分. 之才曰須丸爲之使, 惡石斛ㆍ芒消, 畏消石ㆍ鱉甲ㆍ小, 反藜蘆. 禹錫曰別本須丸作雷丸. 時珍同白朮補脾, 同芎瀉肝, 同人參補氣, 同當歸補血, 以酒炒補陰, 同甘草止腹痛, 同黃連止瀉痢, 同防風發痘疹, 同薑ㆍ棗溫經散濕.","맛은 쓰고 성질은 평하고 독이 없다.《명의별록》에서는 ""맛이 시고 성질이 약간 차고 독이 조금 있다.""라고 하였다. 오보는 ""신농은 '맛이 쓰다.' 하였고, 동군은 '맛이 달고 독이 없다.' 하였고, 기백은 '맛이 짜다.' 하였고, 뇌공은 '맛이 시다.' 하였다. 이당지는 '성질이 조금 차다.' 하였다.""라고 하였다. 장원소는 ""성질이 차고 맛이 시며 기가 강하고 맛이 엷어서 뜨면서 약간 내려가니 양 속의 음이다.""라고 하였다. 이고는 ""백작약은 맛이 시고 성질이 평하고 독이 조금 있어서 오르기도 내리기도 하니 음이다.""라고 하였다. 왕호고는 ""맛이 시면서 쓰고 기가 엷고 맛이 강하니 음이고 내려간다. 수태음경과 족태음경으로 운행하는 약이고, 간과 비의 혈분으로 들어간다.""라고 하였다. 서지재는 ""수환(須丸)이 사(使)가 되고, 석곡ㆍ망초를 싫어하며, 초석ㆍ별갑ㆍ소계를 두려워하고, 여로와 상반된다.""라고 하였다. 장우석은 ""별본의 수환은 뇌환(雷丸)이다.""라고 하였다. 이시진은 ""백출과 함께 쓰면 비(脾)를 보해 주고, 궁궁과 함께 쓰면 간을 사하하고, 인삼과 함께 쓰면 비를 보해 주고, 당귀와 함께 쓰면 혈을 보해 주고, 술에 축여 볶아서 쓰면 음을 보해 주고, 감초와 함께 쓰면 복통을 멎게 하고, 황련과 함께 쓰면 설사와 이질을 멎게 하고, 방풍과 함께 쓰면 두진이 나오게 하고, 생강ㆍ대추와 함께 쓰면 경락을 따뜻하게 하여 습을 흩어 낸다.""라고 하였다.",한의학고전DB
